from_date,title,count
1985-01-01,Senior Staff,8
1985-01-01,Manager,38
1985-01-01,Staff,18
1985-01-01,Technique Leader,12
1985-01-14,Senior Staff,4
1985-01-14,Manager,4
1985-02-01,Engineer,14
1985-02-01,Senior Staff,14
1985-02-01,Senior Engineer,16
1985-02-01,Staff,12
1985-02-02,Engineer,74
1985-02-02,Senior Staff,100
1985-02-02,Senior Engineer,89
1985-02-02,Technique Leader,6
1985-02-02,Assistant Engineer,12
1985-02-02,Staff,83
1985-02-03,Assistant Engineer,10
1985-02-03,Technique Leader,2
1985-02-03,Staff,79
1985-02-03,Engineer,128
1985-02-03,Senior Staff,93
1985-02-03,Senior Engineer,133
1985-02-04,Engineer,128
1985-02-04,Technique Leader,4
1985-02-04,Staff,57
1985-02-04,Senior Engineer,124
1985-02-04,Assistant Engineer,13
1985-02-04,Senior Staff,59
1985-02-05,Staff,99
1985-02-05,Assistant Engineer,12
1985-02-05,Senior Staff,102
1985-02-05,Senior Engineer,83
1985-02-05,Technique Leader,2
1985-02-05,Engineer,69
1985-02-06,Engineer,74
1985-02-06,Senior Engineer,78
1985-02-06,Staff,78
1985-02-06,Senior Staff,82
1985-02-06,Assistant Engineer,6
1985-02-06,Technique Leader,4
1985-02-07,Engineer,89
1985-02-07,Senior Staff,83
1985-02-07,Senior Engineer,87
1985-02-07,Staff,75
1985-02-07,Technique Leader,15
1985-02-08,Senior Engineer,125
1985-02-08,Senior Staff,68
1985-02-08,Assistant Engineer,20
1985-02-08,Technique Leader,7
1985-02-08,Engineer,117
1985-02-08,Staff,62
1985-02-09,Senior Engineer,77
1985-02-09,Senior Staff,63
1985-02-09,Staff,62
1985-02-09,Engineer,65
1985-02-09,Technique Leader,7
1985-02-09,Assistant Engineer,19
1985-02-10,Technique Leader,5
1985-02-10,Senior Staff,92
1985-02-10,Assistant Engineer,12
1985-02-10,Staff,90
1985-02-10,Engineer,100
1985-02-10,Senior Engineer,113
1985-02-11,Senior Engineer,110
1985-02-11,Assistant Engineer,22
1985-02-11,Senior Staff,86
1985-02-11,Staff,77
1985-02-11,Technique Leader,4
1985-02-11,Engineer,99
1985-02-12,Assistant Engineer,29
1985-02-12,Engineer,137
1985-02-12,Technique Leader,8
1985-02-12,Senior Engineer,136
1985-02-12,Senior Staff,89
1985-02-12,Staff,78
1985-02-13,Staff,67
1985-02-13,Senior Staff,82
1985-02-13,Technique Leader,13
1985-02-13,Senior Engineer,80
1985-02-13,Engineer,78
1985-02-13,Assistant Engineer,23
1985-02-14,Assistant Engineer,31
1985-02-14,Engineer,107
1985-02-14,Technique Leader,2
1985-02-14,Staff,89
1985-02-14,Senior Engineer,116
1985-02-14,Senior Staff,100
1985-02-15,Staff,61
1985-02-15,Senior Engineer,94
1985-02-15,Assistant Engineer,16
1985-02-15,Technique Leader,8
1985-02-15,Senior Staff,68
1985-02-15,Engineer,92
1985-02-16,Engineer,89
1985-02-16,Staff,55
1985-02-16,Senior Engineer,109
1985-02-16,Senior Staff,55
1985-02-16,Assistant Engineer,6
1985-02-16,Technique Leader,6
1985-02-17,Senior Staff,86
1985-02-17,Assistant Engineer,39
1985-02-17,Engineer,125
1985-02-17,Senior Engineer,127
1985-02-17,Staff,70
1985-02-18,Staff,87
1985-02-18,Senior Engineer,132
